Name,ASIC/Codename,Vendor ID,Device ID, Integrated/APU,Discrete Mobile Part
NVIDIA GeForce GT 645,,0x10DE,0x1207,0,0
NVIDIA GeForce GTX 560 SE,,0x10DE,0x1208,0,0
NVIDIA GeForce GTX 570M,,0x10DE,0x1210,0,1
NVIDIA GeForce GTX 580M,,0x10DE,0x1211,0,1
NVIDIA GeForce GTX 675M,,0x10DE,0x1212,0,1
NVIDIA GeForce GTX 670M,,0x10DE,0x1213,0,1
NVIDIA GeForce GT 545,,0x10DE,0x1241,0,0
NVIDIA GeForce GT 545,,0x10DE,0x1243,0,0
NVIDIA GeForce GTX 550 Ti,,0x10DE,0x1244,0,0
NVIDIA GeForce GTS 450,,0x10DE,0x1245,0,0
NVIDIA GeForce GT 550M,,0x10DE,0x1246,0,1
NVIDIA GeForce GT 635M,,0x10DE,0x1247,0,1
NVIDIA GeForce GT 555M,,0x10DE,0x1248,0,1
NVIDIA GeForce GTS 450,,0x10DE,0x1249,0,0
NVIDIA GeForce GT 640,,0x10DE,0x124B,0,0
NVIDIA GeForce GT 555M,,0x10DE,0x124D,0,1
NVIDIA GeForce GTX 560M,,0x10DE,0x1251,0,1
NVIDIA GeForce GTX TITAN,GK110 Kepler,0x10DE,0x1035,0,0
NVIDIA GeForce GTX TITAN BLACK,GK110B Kepler,0x10DE,0x100C,0,0
NVIDIA GeForce GTX 750,GM107 Maxwell,0x10DE,0x1381,0,0
NVIDIA GeForce GTX 750 Ti,GM107 Maxwell,0x10DE,0x105F,0,0
NVIDIA GeForce GTX 760,GK104 Kepler,0x10DE,0x1187,0,0
NVIDIA GeForce GTX 760 Ti (OEM),GK104 Kepler,0x10DE,0x1189,0,0
NVIDIA GeForce GTX 760M,GK106 Kepler,0x10DE,0x11E3,0,1
NVIDIA GeForce GTX 765M,GK106 Kepler,0x10DE,0x11E2,0,1
NVIDIA GeForce GTX 770,GK104 Kepler,0x10DE,0x1184,0,0
NVIDIA GeForce GTX 770M,GK106 Kepler,0x10DE,0x11E0,0,1
NVIDIA GeForce GTX 780,GK110 Kepler,0x10DE,0x1004,0,0
NVIDIA GeForce GTX 780 Ti,GK110B Kepler,0x10DE,0x100A,0,0
NVIDIA GeForce GTX 780M,GK104 Kepler,0x10DE,0x119F,0,1
NVIDIA GeForce GTX 880M,GK104 Kepler,0x10DE,0x1198,0,1
NVIDIA GeForce GTX 960,GM206 Maxwell,0x10DE,0x1401,0,0
NVIDIA GeForce GTX 970,GM204 Maxwell,0x10DE,0x13C2,0,0
NVIDIA GeForce GTX 980,GM204 Maxwell,0x10DE,0x13C0,0,0
